Place,Type,County,"Planning Region","Per capita income","Median household income","Median family income",Population,"Number of households"
Naugatuck,Borough,New Haven,Naugatuck Valley,"$27,933 ","$59,393 ","$71,021 ","31,862","12,339"
Meriden,City,New Haven,South Central CT,"$27,625 ","$53,873 ","$65,450 ","60,868","23,977"
Winchester,Town,Litchfield,Northwest Hills,"$27,264 ","$57,958 ","$68,622 ","11,242","4,815"
Thompson,Town,Windham,Northeastern CT,"$27,222 ","$60,951 ","$74,613 ","9,458","3,730"
Norwich,City,New London,Southeastern CT,"$26,702 ","$52,186 ","$62,616 ","40,493","16,599"
North Canaan,Town,Litchfield,Northwest Hills,"$26,700 ","$46,417 ","$52,604 ","3,315","1,400"
Putnam,Town,Windham,Northeastern CT,"$26,506 ","$51,180 ","$61,168 ","9,584","3,950"
Derby,City,New Haven,Naugatuck Valley,"$26,264 ","$52,029 ","$58,984 ","12,902","5,388"
Ansonia,City,New Haven,Naugatuck Valley,"$26,225 ","$56,541 ","$71,329 ","19,249","7,510"
Torrington,City,Litchfield,Northwest Hills,"$25,948 ","$48,409 ","$64,476 ","36,383","15,243"
West Haven,City,New Haven,South Central CT,"$25,884 ","$51,854 ","$62,330 ","55,564","21,112"
Sterling,Town,Windham,Northeastern CT,"$25,557 ","$64,500 ","$74,405 ","3,830","1,383"
Winsted,City,Litchfield,Northwest Hills,"$25,291 ","$61,404 ","$68,406 ","7,712","3,346"
Killingly,Town,Windham,Northeastern CT,"$25,215 ","$53,192 ","$65,496 ","17,370","6,749"
Brooklyn,Town,Windham,Northeastern CT,"$25,124 ","$68,851 ","$76,224 ","8,210","2,989"
Plainfield,Town,Windham,Northeastern CT,"$24,825 ","$61,500 ","$69,096 ","15,405","5,726"
East Hartford,Town,Hartford,Capitol Region,"$24,373 ","$48,613 ","$57,848 ","51,252","20,195"
Bantam,Borough,Litchfield,Lower CT River Valley,"$24,284 ","$42,256 ","$54,063 ",759,372
Jewett City,Borough,New London,Southeastern CT,"$23,876 ","$39,334 ","$55,781 ","3,487","1,466"
Danielson,Borough,Windham,Northeastern CT,"$22,798 ","$55,097 ","$56,831 ","4,051","1,627"
New Haven,City,New Haven,South Central CT,"$21,789 ","$38,963 ","$47,432 ","129,779","48,877"
Mansfield,Town,Tolland,Capitol Region,"$21,579 ","$65,839 ","$84,128 ","26,543","5,586"
Waterbury,City,New Haven,Naugatuck Valley,"$21,545 ","$40,254 ","$47,077 ","110,366","42,761"
New London,City,New London,Southeastern CT,"$21,110 ","$43,551 ","$49,811 ","27,620","10,373"
New Britain,City,Hartford,Capitol Region,"$21,056 ","$39,706 ","$45,990 ","73,206","28,158"
Windham,Town,Windham,Southeastern CT,"$20,272 ","$40,063 ","$48,145 ","25,268","8,906"
Bridgeport,City,Fairfield,Greater Bridgeport,"$19,854 ","$41,047 ","$47,894 ","144,229","51,255"
Hartford,City,Hartford,Capitol Region,"$16,798 ","$28,970 ","$32,820 ","124,775","45,124"
